Item id	Item name	Item quantity
7060	Tuna potato	119
385	Shark	610
3144	Cooked karambwan	1103
6705	Potato with cheese	77
7946	Monkfish	2910
373	Swordfish	571
379	Lobster	536
361	Tuna	252
329	Salmon	1201
333	Trout	1795
2003	Stew	12
464	Strange fruit	14
5972	Papaya fruit	1013
10476	Purple sweets	734
351	Pike	24
349	Raw pike	12
6703	Potato with butter	11
7086	Chopped tuna	7
6701	Baked potato	280
6697	Pat of butter	252
4419	Guthix rest(3)	8
24589	Blighted manta ray	24
339	Cod	276
327	Raw sardine	113
9986	Raw beast meat	11
391	Manta ray	99
389	Raw manta ray	24
365	Bass	259
13439	Raw anglerfish	679
397	Sea turtle	125
383	Raw shark	1568
1913	Dwarven stout	1
7056	Egg potato	12
29195	Moonlight moth mix (2)	10
13441	Anglerfish	2
11936	Dark crab	1
24595	Blighted karambwan	5
3226	Raw rabbit	12
2136	Raw bear meat	2
7208	Wild pie	5
2313	Pie dish	3
7202	Part wild pie	1
7220	Half a summer pie	2
28893	Moonlight moth	93
7210	Half a wild pie	1
7944	Raw monkfish	200
5321	Watermelon seed	153
371	Raw swordfish	27
395	Raw sea turtle	12
377	Raw lobster	6
561	Nature rune	13162
564	Cosmic rune	21679
560	Death rune	28118
556	Air rune	48572
563	Law rune	8700
555	Water rune	48087
559	Body rune	6081
554	Fire rune	133048
565	Blood rune	13101
557	Earth rune	89029
558	Mind rune	168856
562	Chaos rune	9477
9075	Astral rune	2725
566	Soul rune	15512
4699	Lava rune	21
21880	Wrath rune	59
1438	Air talisman	4
1448	Mind talisman	11
1440	Earth talisman	8
1458	Law talisman	2
1442	Fire talisman	5
1444	Water talisman	6
1454	Cosmic talisman	12
1446	Body talisman	11
1452	Chaos talisman	12
1456	Death talisman	1
7218	Summer pie	53
3857	Games necklace(6)	1
1675	Sapphire amulet (u)	8
6707	Camulet	1
13660	Chronicle	1
7936	Pure essence	39819
26792	Abyssal pearls	324
5514	Giant pouch	1
5509	Small pouch	1
5512	Large pouch	1
5510	Medium pouch	1
4601	Ugthanki dung	3
4610	Red hot sauce	1
3853	Games necklace(8)	5
9013	Skull sceptre	1
11194	Digsite pendant (5)	87
13131	Fremennik sea boots 3	1
21389	Master scroll book	3
13393	Xeric's talisman	1
26798	Catalytic talisman	3
1462	Nature talisman	16
4695	Mist rune	6656
30638	Giantsoul amulet	1
11193	Digsite pendant (4)	1
29307	Quetzal feed	27
4698	Mud rune	215
23183	Strange device	1
19564	Royal seed pod	1
29893	Pendant of ates	1
22400	Drakan's medallion	1
9034	Golden statuette	33
21166	Burning amulet(5)	10
13110	Wilderness sword 3	1
26948	Pharaoh's sceptre	1
30637	Giantsoul amulet (uncharged)	8
25818	Book of the dead	1
6101	Teleport crystal (2)	1
4694	Steam rune	46
12791	Rune pouch	1
23512	Tattered sun page	1
21149	Necklace of passage(4)	1
21146	Necklace of passage(5)	9
4251	Ectophial	1
29273	Enhanced quetzal whistle	1
13126	Explorer's ring 2	1
13123	Ardougne cloak 3	1
8013	Teleport to house	165
5516	Elemental talisman	2
2552	Ring of dueling(8)	10
13249	Key master teleport	3
30634	Twinflame staff	1
12658	Iban's staff (u)	1
22109	Ava's assembler	1
772	Dramen staff	4
23037	Boots of stone	1
20714	Tome of fire	1
807	Iron dart	276
12502	Bandos chaps	1
1718	Holy symbol	1
4675	Ancient staff	2
10828	Helm of neitiznot	1
3122	Granite shield	1
9674	Proselyte hauberk	1
9676	Proselyte cuisse	1
21183	Bracelet of slaughter	3
21177	Expeditious bracelet	11
9185	Rune crossbow	6
28792	Bone mace	1
2	Steel cannonball	3219
11875	Broad bolts	4310
6714	Holy wrench	1
9242	Ruby bolts (e)	72
4170	Slayer's staff	1
11902	Leaf-bladed sword	2
20736	Dust battlestaff	1
